Model,T_max,Uncensored Reduction,5Fold - c-index,5Fold - iBrier,5Fold - AUROC,5Fold - LogRank,Hold-out - c-index,Hold-out - iBrier,Hold-out - AUROC,Hold-out - LogRank
GradientBoosting $_{LogRank}$,1.0,0.25,0.6604 ± 0.0412,0.5196 ± 0.0288,0.8471 ± 0.0171,0.0001 ± 0.0002,0.7011,0.5486,0.7417,0.0032
GradientBoosting $_{LogRank}$,0.75,1.0,0.7815 ± 0.0104,0.1995 ± 0.0092,0.8462 ± 0.0149,0.3109 ± 0.2499,0.7405,0.1897,0.7978,0.0046
GradientBoosting $_{LogRank}$,0.75,0.75,0.7775 ± 0.0113,0.2412 ± 0.0080,0.8390 ± 0.0148,0.1290 ± 0.1583,0.7357,0.2390,0.7982,0.0000
GradientBoosting $_{LogRank}$,0.75,0.5,0.7616 ± 0.0137,0.3218 ± 0.0130,0.7957 ± 0.0138,0.0029 ± 0.0040,0.7243,0.3398,0.7935,0.0000
GradientBoosting $_{LogRank}$,0.75,0.25,0.6951 ± 0.0184,0.4972 ± 0.0217,0.8536 ± 0.0163,0.0000 ± 0.0000,0.7003,0.5383,0.7337,0.0000
GradientBoosting $_{LogRank}$,0.5,1.0,0.7904 ± 0.0152,0.2107 ± 0.0126,0.8484 ± 0.0177,0.0031 ± 0.0024,0.7444,0.2031,0.8010,0.0000
GradientBoosting $_{LogRank}$,0.5,0.75,0.7860 ± 0.0160,0.2402 ± 0.0139,0.8372 ± 0.0175,0.0009 ± 0.0009,0.7376,0.2400,0.7964,0.0000
GradientBoosting $_{LogRank}$,0.5,0.5,0.7733 ± 0.0189,0.2963 ± 0.0217,0.7911 ± 0.0171,0.0001 ± 0.0001,0.7284,0.3054,0.7491,0.0000
GradientBoosting $_{LogRank}$,0.5,0.25,0.7420 ± 0.0336,0.4070 ± 0.0338,0.8758 ± 0.0198,0.0000 ± 0.0000,0.6980,0.4301,0.5821,0.0000
GradientBoosting $_{LogRank}$,0.25,1.0,0.8153 ± 0.0232,0.1806 ± 0.0133,0.8639 ± 0.0269,0.0069 ± 0.0065,0.7791,0.1733,0.8214,0.0000
GradientBoosting $_{LogRank}$,0.25,0.75,0.8129 ± 0.0242,0.1926 ± 0.0146,0.8391 ± 0.0310,0.0015 ± 0.0016,0.7697,0.1883,0.7918,0.0000
GradientBoosting $_{LogRank}$,0.25,0.5,0.8050 ± 0.0269,0.2157 ± 0.0187,0.5472 ± 0.0284,0.0002 ± 0.0003,0.7643,0.2127,0.7713,0.0000
GradientBoosting $_{LogRank}$,0.25,0.25,0.7738 ± 0.0356,0.2539 ± 0.0230,0.8530 ± 0.0347,0.0000 ± 0.0000,0.7466,0.2525,0.5000,0.0000
GradientBoosting ,1.0,1.0,0.7824 ± 0.0138,0.1948 ± 0.0084,0.8491 ± 0.0161,0.6287 ± 0.3132,0.7508,0.1852,0.8079,0.3544
GradientBoosting ,1.0,0.75,0.7621 ± 0.0246,0.2439 ± 0.0084,0.8436 ± 0.0178,0.5740 ± 0.2492,0.7501,0.2354,0.8136,0.4592
GradientBoosting ,1.0,0.5,0.7245 ± 0.0535,0.3310 ± 0.0149,0.8249 ± 0.0181,0.0767 ± 0.1022,0.7345,0.3389,0.8060,0.0011
GradientBoosting ,1.0,0.25,0.6607 ± 0.0483,0.5195 ± 0.0288,0.8495 ± 0.0225,0.0001 ± 0.0002,0.6816,0.5485,0.7793,0.0047
GradientBoosting ,0.75,1.0,0.7832 ± 0.0082,0.1993 ± 0.0092,0.8502 ± 0.0140,0.2915 ± 0.2558,0.7520,0.1896,0.8090,0.0053
GradientBoosting ,0.75,0.75,0.7805 ± 0.0115,0.2411 ± 0.0080,0.8455 ± 0.0178,0.1323 ± 0.1604,0.7504,0.2388,0.8141,0.0000
GradientBoosting ,0.75,0.5,0.7708 ± 0.0122,0.3217 ± 0.0129,0.8228 ± 0.0183,0.0032 ± 0.0045,0.7357,0.3397,0.8044,0.0000
GradientBoosting ,0.75,0.25,0.7054 ± 0.0120,0.4971 ± 0.0217,0.8533 ± 0.0240,0.0000 ± 0.0000,0.6834,0.5383,0.7813,0.0000
GradientBoosting ,0.5,1.0,0.7919 ± 0.0163,0.2105 ± 0.0126,0.8469 ± 0.0203,0.0030 ± 0.0022,0.7484,0.2030,0.8083,0.0000
GradientBoosting ,0.5,0.75,0.7829 ± 0.0182,0.2400 ± 0.0139,0.8464 ± 0.0193,0.0009 ± 0.0009,0.7511,0.2399,0.8131,0.0000
GradientBoosting ,0.5,0.5,0.7743 ± 0.0160,0.2962 ± 0.0216,0.8128 ± 0.0180,0.0001 ± 0.0001,0.7371,0.3053,0.8048,0.0000
GradientBoosting ,0.5,0.25,0.7343 ± 0.0402,0.4070 ± 0.0338,0.8796 ± 0.0381,0.0000 ± 0.0000,0.6842,0.4300,0.7723,0.0000
GradientBoosting ,0.25,1.0,0.8199 ± 0.0221,0.1805 ± 0.0133,0.8749 ± 0.0256,0.0067 ± 0.0062,0.7786,0.1732,0.8373,0.0000
GradientBoosting ,0.25,0.75,0.8182 ± 0.0242,0.1925 ± 0.0146,0.8620 ± 0.0297,0.0017 ± 0.0017,0.7717,0.1882,0.8231,0.0000
GradientBoosting ,0.25,0.5,0.8060 ± 0.0372,0.2157 ± 0.0187,0.8447 ± 0.0374,0.0002 ± 0.0004,0.7653,0.2127,0.8209,0.0000
MDN $_{LogRank}$,1.0,1.0,0.7721 ± 0.0116,0.1344 ± 0.0063,0.8408 ± 0.0202,0.5590 ± 0.2188,0.7301,0.1517,0.7956,0.6322
