No protocol specified
[32m[I 2022-04-13 11:43:56,700][0m A new study created in memory with name: no-name-5c911470-f42c-4c1b-99d7-65d995f09833[0m
[32m[I 2022-04-13 11:48:31,226][0m Trial 57 finished with value: 0.8413730490698317 and parameters: {'n_estimators': 206, 'min_samples_split': 0.2523768374146088, 'min_samples_leaf': 0.21847752793577818, 'min_weight_fraction_leaf': 0.12393177849988363, 'max_features': 0.45901387786688364, 'bootstrap': False, 'max_samples': 0.1468295027965386}. Best is trial 31 with value: 0.874261987257867.[0m
[32m[I 2022-04-13 11:48:36,924][0m Trial 58 finished with value: 0.8635648356366652 and parameters: {'n_estimators': 337, 'min_samples_split': 0.303222132829833, 'min_samples_leaf': 0.09029758297411389, 'min_weight_fraction_leaf': 0.16299597275575275, 'max_features': 0.6184428449676481, 'bootstrap': False, 'max_samples': 0.5337753361873752}. Best is trial 31 with value: 0.874261987257867.[0m
[32m[I 2022-04-13 11:48:40,928][0m Trial 59 finished with value: 0.863684007414556 and parameters: {'n_estimators': 160, 'min_samples_split': 0.15975101518889828, 'min_samples_leaf': 0.12062181543073941, 'min_weight_fraction_leaf': 0.04146506144650879, 'max_features': 0.5256542466304949, 'bootstrap': False, 'max_samples': 0.3552849518872217}. Best is trial 31 with value: 0.874261987257867.[0m
[32m[I 2022-04-13 11:48:54,423][0m Trial 60 finished with value: 0.8638150142387448 and parameters: {'n_estimators': 533, 'min_samples_split': 0.12167256301916203, 'min_samples_leaf': 0.04190355233728027, 'min_weight_fraction_leaf': 0.0710402720827229, 'max_features': 0.740408483149302, 'bootstrap': False, 'max_samples': 0.41965542091515307}. Best is trial 31 with value: 0.874261987257867.[0m
[32m[I 2022-04-13 11:48:58,889][0m Trial 61 finished with value: 0.8580766590482277 and parameters: {'n_estimators': 113, 'min_samples_split': 0.1439480376878106, 'min_samples_leaf': 0.01741503313402436, 'min_weight_fraction_leaf': 0.025135615767684923, 'max_features': 0.6527263030972661, 'bootstrap': False, 'max_samples': 0.29496250989854733}. Best is trial 31 with value: 0.874261987257867.[0m
[32m[I 2022-04-13 11:49:03,425][0m Trial 62 finished with value: 0.8711491215778633 and parameters: {'n_estimators': 134, 'min_samples_split': 0.1891796011828087, 'min_samples_leaf': 0.034398073379262, 'min_weight_fraction_leaf': 0.014879174030503598, 'max_features': 0.6087359770119872, 'bootstrap': False, 'max_samples': 0.2575105585764538}. Best is trial 31 with value: 0.874261987257867.[0m
[32m[I 2022-04-13 11:49:07,922][0m Trial 63 finished with value: 0.8666628404432679 and parameters: {'n_estimators': 132, 'min_samples_split': 0.21178516435310854, 'min_samples_leaf': 0.06209653489191421, 'min_weight_fraction_leaf': 0.01606009154739997, 'max_features': 0.6105708969406134, 'bootstrap': False, 'max_samples': 0.17692223179429556}. Best is trial 31 with value: 0.874261987257867.[0m
[32m[I 2022-04-13 11:49:13,392][0m Trial 64 finished with value: 0.8687299675999327 and parameters: {'n_estimators': 148, 'min_samples_split': 0.189565979847015, 'min_samples_leaf': 0.0023056897016828053, 'min_weight_fraction_leaf': 0.04207010587788388, 'max_features': 0.6983279193569317, 'bootstrap': False, 'max_samples': 0.24047256962226354}. Best is trial 31 with value: 0.874261987257867.[0m
[32m[I 2022-04-13 11:49:17,535][0m Trial 65 finished with value: 0.8706831469686058 and parameters: {'n_estimators': 126, 'min_samples_split': 0.25875967572313857, 'min_samples_leaf': 0.0385292409095357, 'min_weight_fraction_leaf': 0.06554041990036402, 'max_features': 0.5572405658829719, 'bootstrap': False, 'max_samples': 0.27055064091231384}. Best is trial 31 with value: 0.874261987257867.[0m
[32m[I 2022-04-13 11:49:22,134][0m Trial 66 finished with value: 0.870378170927243 and parameters: {'n_estimators': 167, 'min_samples_split': 0.16875191119487645, 'min_samples_leaf': 0.018771164366473154, 'min_weight_fraction_leaf': 0.013081492409528779, 'max_features': 0.4435762303500259, 'bootstrap': False, 'max_samples': 0.2056523069163996}. Best is trial 31 with value: 0.874261987257867.[0m
[32m[I 2022-04-13 11:49:26,046][0m Trial 67 finished with value: 0.8567667047612065 and parameters: {'n_estimators': 120, 'min_samples_split': 0.23078217683349164, 'min_samples_leaf': 0.06298341045054888, 'min_weight_fraction_leaf': 0.038257305562765596, 'max_features': 0.8567319991839495, 'bootstrap': False, 'max_samples': 0.07345687694352637}. Best is trial 31 with value: 0.874261987257867.[0m
