Model,T_max,Uncensored Reduction,5Fold - c-index,5Fold - iBrier,5Fold - AUROC,5Fold - LogRank,Hold-out - c-index,Hold-out - iBrier,Hold-out - AUROC,Hold-out - LogRank
GradientBoosting $_{LogRank}$,0.25,0.5,0.6740 ± 0.0284,0.4360 ± 0.0398,0.7745 ± 0.0217,0.0183 ± 0.0171,0.6648,0.4260,0.7592,0.0007
GradientBoosting $_{LogRank}$,0.25,0.25,0.6165 ± 0.0251,0.7798 ± 0.0687,0.7130 ± 0.0479,0.0009 ± 0.0009,0.5171,0.7358,0.6321,0.0000
GradientBoosting ,1.0,1.0,0.6933 ± 0.0197,0.1935 ± 0.0532,0.8112 ± 0.0272,0.6265 ± 0.2681,0.6978,0.1987,0.7660,0.9590
GradientBoosting ,1.0,0.75,0.6719 ± 0.0273,0.2911 ± 0.0765,0.7928 ± 0.0313,0.4004 ± 0.2774,0.6885,0.2954,0.7612,0.3754
GradientBoosting ,1.0,0.5,0.6510 ± 0.0344,0.4597 ± 0.0696,0.7836 ± 0.0258,0.0356 ± 0.0412,0.6480,0.4509,0.7663,0.0240
GradientBoosting ,1.0,0.25,0.6241 ± 0.0354,0.8881 ± 0.0917,0.7654 ± 0.0214,0.0018 ± 0.0028,0.6236,0.8295,0.7341,0.0001
GradientBoosting ,0.75,1.0,0.6933 ± 0.0197,0.1935 ± 0.0532,0.8112 ± 0.0272,0.6265 ± 0.2681,0.6978,0.1987,0.7660,0.9590
GradientBoosting ,0.75,0.75,0.6719 ± 0.0273,0.2911 ± 0.0765,0.7928 ± 0.0313,0.4004 ± 0.2774,0.6885,0.2954,0.7612,0.3754
GradientBoosting ,0.75,0.5,0.6510 ± 0.0344,0.4597 ± 0.0696,0.7836 ± 0.0258,0.0356 ± 0.0412,0.6480,0.4509,0.7663,0.0240
GradientBoosting ,0.75,0.25,0.6241 ± 0.0354,0.8881 ± 0.0917,0.7654 ± 0.0214,0.0018 ± 0.0028,0.6236,0.8295,0.7341,0.0001
GradientBoosting ,0.5,1.0,0.6996 ± 0.0169,0.1951 ± 0.0526,0.8117 ± 0.0267,0.4778 ± 0.1479,0.7013,0.2010,0.7664,0.9253
GradientBoosting ,0.5,0.75,0.6859 ± 0.0266,0.2911 ± 0.0745,0.7929 ± 0.0307,0.4282 ± 0.2962,0.6970,0.2969,0.7618,0.2229
GradientBoosting ,0.5,0.5,0.6730 ± 0.0414,0.4545 ± 0.0639,0.7845 ± 0.0252,0.0473 ± 0.0612,0.6800,0.4373,0.7514,0.1004
GradientBoosting ,0.5,0.25,0.6500 ± 0.0558,0.8749 ± 0.0674,0.7662 ± 0.0208,0.0018 ± 0.0028,0.6675,0.7843,0.7361,0.0006
GradientBoosting ,0.25,1.0,0.7023 ± 0.0224,0.2218 ± 0.0647,0.8134 ± 0.0271,0.5828 ± 0.3558,0.6945,0.2307,0.7640,0.3885
GradientBoosting ,0.25,0.75,0.6959 ± 0.0282,0.2971 ± 0.0671,0.7933 ± 0.0254,0.3639 ± 0.3045,0.6837,0.3037,0.7621,0.0269
GradientBoosting ,0.25,0.5,0.6921 ± 0.0322,0.4359 ± 0.0398,0.7873 ± 0.0292,0.0282 ± 0.0229,0.6696,0.4259,0.7535,0.0022
