Model,T_max,Uncensored Reduction,5Fold - c-index,5Fold - iBrier,5Fold - AUROC,5Fold - LogRank,Hold-out - c-index,Hold-out - iBrier,Hold-out - AUROC,Hold-out - LogRank
RandomSurvivalForest ,0.5,0.5,0.6572 ± 0.0256,0.2933 ± 0.0249,0.7209 ± 0.0569,0.0078 ± 0.0085,0.6643,0.2515,0.7218,0.0000
RandomSurvivalForest ,0.5,0.25,0.6094 ± 0.0305,0.2896 ± 0.0426,0.6932 ± 0.0621,0.0000 ± 0.0000,0.6184,0.2630,0.6904,0.0000
RandomSurvivalForest ,0.25,1.0,0.6872 ± 0.0312,0.1734 ± 0.0218,0.7450 ± 0.0491,0.4080 ± 0.3206,0.7100,0.1546,0.7601,0.0290
RandomSurvivalForest ,0.25,0.75,0.6708 ± 0.0302,0.2177 ± 0.0279,0.7265 ± 0.0542,0.1424 ± 0.1115,0.6847,0.2018,0.7444,0.0001
RandomSurvivalForest ,0.25,0.5,0.6537 ± 0.0265,0.2985 ± 0.0225,0.7114 ± 0.0613,0.0071 ± 0.0087,0.6701,0.2622,0.7167,0.0000
RandomSurvivalForest ,0.25,0.25,0.6032 ± 0.0323,0.2906 ± 0.0530,0.6854 ± 0.0636,0.0000 ± 0.0000,0.6504,0.2703,0.6868,0.0000
GradientBoosting _LogRank,1.0,1.0,0.6699 ± 0.0251,0.1692 ± 0.0182,0.7359 ± 0.0439,0.4684 ± 0.1416,0.7026,0.1554,0.7623,0.4678
GradientBoosting _LogRank,1.0,0.75,0.6587 ± 0.0151,0.2714 ± 0.0375,0.7230 ± 0.0463,0.2671 ± 0.1809,0.6933,0.2686,0.7578,0.0015
GradientBoosting _LogRank,1.0,0.5,0.6629 ± 0.0249,0.4523 ± 0.0469,0.7067 ± 0.0430,0.0258 ± 0.0446,0.6617,0.4515,0.7423,0.0000
GradientBoosting _LogRank,1.0,0.25,0.6310 ± 0.0297,0.9105 ± 0.0672,0.6600 ± 0.0259,0.0000 ± 0.0000,0.6124,0.9096,0.6974,0.0000
GradientBoosting _LogRank,0.75,1.0,0.6699 ± 0.0251,0.1692 ± 0.0182,0.7359 ± 0.0439,0.4684 ± 0.1416,0.7026,0.1554,0.7623,0.4678
GradientBoosting _LogRank,0.75,0.75,0.6587 ± 0.0151,0.2714 ± 0.0375,0.7230 ± 0.0463,0.2671 ± 0.1809,0.6933,0.2686,0.7578,0.0015
GradientBoosting _LogRank,0.75,0.5,0.6629 ± 0.0249,0.4523 ± 0.0469,0.7067 ± 0.0430,0.0258 ± 0.0446,0.6617,0.4515,0.7423,0.0000
GradientBoosting _LogRank,0.75,0.25,0.6310 ± 0.0297,0.9105 ± 0.0672,0.6600 ± 0.0259,0.0000 ± 0.0000,0.6124,0.9096,0.6974,0.0000
GradientBoosting _LogRank,0.5,1.0,0.6712 ± 0.0262,0.1748 ± 0.0227,0.7359 ± 0.0431,0.3899 ± 0.2356,0.7078,0.1631,0.7656,0.6945
GradientBoosting _LogRank,0.5,0.75,0.6623 ± 0.0199,0.2704 ± 0.0367,0.7221 ± 0.0459,0.3213 ± 0.3076,0.6986,0.2722,0.7601,0.0010
GradientBoosting _LogRank,0.5,0.5,0.6579 ± 0.0133,0.4438 ± 0.0461,0.7070 ± 0.0446,0.0342 ± 0.0592,0.6796,0.4419,0.7444,0.0000
GradientBoosting _LogRank,0.5,0.25,0.6206 ± 0.0276,0.8981 ± 0.0740,0.6601 ± 0.0267,0.0000 ± 0.0000,0.6246,0.8766,0.6924,0.0000
GradientBoosting _LogRank,0.25,1.0,0.6704 ± 0.0312,0.2120 ± 0.0340,0.7368 ± 0.0461,0.3982 ± 0.3111,0.7126,0.2089,0.7729,0.0043
GradientBoosting _LogRank,0.25,0.75,0.6650 ± 0.0301,0.2814 ± 0.0368,0.7210 ± 0.0511,0.1260 ± 0.1395,0.6921,0.2859,0.7525,0.0001
GradientBoosting _LogRank,0.25,0.5,0.6518 ± 0.0244,0.4205 ± 0.0369,0.7078 ± 0.0424,0.0551 ± 0.0955,0.6841,0.4389,0.7502,0.0000
GradientBoosting _LogRank,0.25,0.25,0.6028 ± 0.0302,0.7741 ± 0.0490,0.6579 ± 0.0194,0.0000 ± 0.0000,0.6487,0.8177,0.7019,0.0000
GradientBoosting ,1.0,1.0,0.6750 ± 0.0267,0.1493 ± 0.0262,0.7391 ± 0.0507,0.5648 ± 0.2057,0.6965,0.1376,0.7564,0.3229
GradientBoosting ,1.0,0.75,0.6702 ± 0.0189,0.2317 ± 0.0442,0.7327 ± 0.0470,0.3616 ± 0.1549,0.6807,0.2499,0.7548,0.0138
GradientBoosting ,1.0,0.5,0.6590 ± 0.0104,0.3949 ± 0.0503,0.7141 ± 0.0493,0.0274 ± 0.0454,0.6638,0.4283,0.7548,0.0000
GradientBoosting ,1.0,0.25,0.6165 ± 0.0454,0.8855 ± 0.0662,0.6702 ± 0.0272,0.0000 ± 0.0000,0.6294,0.8839,0.7121,0.0000
GradientBoosting ,0.75,1.0,0.6750 ± 0.0267,0.1493 ± 0.0262,0.7391 ± 0.0507,0.5648 ± 0.2057,0.6965,0.1376,0.7564,0.3229
GradientBoosting ,0.75,0.75,0.6702 ± 0.0189,0.2317 ± 0.0442,0.7327 ± 0.0470,0.3616 ± 0.1549,0.6807,0.2499,0.7548,0.0138
GradientBoosting ,0.75,0.5,0.6590 ± 0.0104,0.3949 ± 0.0503,0.7141 ± 0.0493,0.0274 ± 0.0454,0.6638,0.4283,0.7548,0.0000
GradientBoosting ,0.75,0.25,0.6165 ± 0.0454,0.8855 ± 0.0662,0.6702 ± 0.0272,0.0000 ± 0.0000,0.6294,0.8839,0.7121,0.0000
GradientBoosting ,0.5,1.0,0.6746 ± 0.0288,0.1539 ± 0.0300,0.7377 ± 0.0539,0.4620 ± 0.2224,0.7077,0.1446,0.7681,0.6605
GradientBoosting ,0.5,0.75,0.6739 ± 0.0212,0.2284 ± 0.0413,0.7331 ± 0.0474,0.3412 ± 0.3107,0.6901,0.2519,0.7520,0.0022
GradientBoosting ,0.5,0.5,0.6652 ± 0.0256,0.3865 ± 0.0487,0.7142 ± 0.0511,0.0379 ± 0.0624,0.6859,0.4139,0.7570,0.0000
GradientBoosting ,0.5,0.25,0.6145 ± 0.0321,0.8744 ± 0.0750,0.6613 ± 0.0313,0.0000 ± 0.0000,0.6347,0.8476,0.7139,0.0000
GradientBoosting ,0.25,1.0,0.6752 ± 0.0304,0.1811 ± 0.0408,0.7386 ± 0.0566,0.4583 ± 0.3625,0.7090,0.1910,0.7696,0.0226
GradientBoosting ,0.25,0.75,0.6761 ± 0.0222,0.2363 ± 0.0420,0.7337 ± 0.0441,0.1964 ± 0.1813,0.6908,0.2651,0.7559,0.0002
GradientBoosting ,0.25,0.5,0.6553 ± 0.0357,0.3688 ± 0.0403,0.7069 ± 0.0586,0.0530 ± 0.0915,0.6889,0.3991,0.7600,0.0000
GradientBoosting ,0.25,0.25,0.6046 ± 0.0314,0.7531 ± 0.0513,0.6600 ± 0.0189,0.0000 ± 0.0000,0.6673,0.7871,0.7257,0.0000
MDN _LogRank,1.0,1.0,0.6758 ± 0.0303,0.1477 ± 0.0330,0.8165 ± 0.0375,0.4052 ± 0.2352,0.7061,0.1314,0.6548,0.0555
MDN _LogRank,1.0,0.75,0.6478 ± 0.0135,0.2397 ± 0.0565,0.7512 ± 0.0508,0.2891 ± 0.1358,0.6848,0.2412,0.6421,0.6328
MDN _LogRank,1.0,0.5,0.6075 ± 0.0213,0.4254 ± 0.1000,0.6701 ± 0.0659,0.5127 ± 0.2454,0.6302,0.4015,0.6148,0.1156
MDN _LogRank,1.0,0.25,0.5999 ± 0.0505,0.6755 ± 0.1189,0.6760 ± 0.0630,0.0482 ± 0.0594,0.6005,0.6139,0.6390,0.0005
MDN _LogRank,0.75,1.0,0.6475 ± 0.0290,0.1494 ± 0.0333,0.7576 ± 0.0821,0.2696 ± 0.0481,0.6999,0.1363,0.6497,0.0082
MDN _LogRank,0.75,0.75,0.6237 ± 0.0191,0.2536 ± 0.0575,0.7150 ± 0.0602,0.5773 ± 0.1329,0.6869,0.2331,0.6571,0.0210
MDN _LogRank,0.75,0.5,0.6335 ± 0.0123,0.3967 ± 0.0844,0.6256 ± 0.0805,0.3296 ± 0.2788,0.5789,0.4115,0.5200,0.0315
MDN _LogRank,0.75,0.25,0.6383 ± 0.0144,0.6665 ± 0.1261,0.6821 ± 0.0375,0.0920 ± 0.1582,0.6060,0.6868,0.5702,0.0117
MDN _LogRank,0.5,1.0,0.6642 ± 0.0250,0.1527 ± 0.0423,0.7746 ± 0.0700,0.3481 ± 0.2322,0.7021,0.1394,0.6608,0.0315
MDN _LogRank,0.5,0.75,0.6431 ± 0.0459,0.2486 ± 0.0725,0.7474 ± 0.0847,0.3978 ± 0.1747,0.6651,0.2528,0.6693,0.4032
MDN _LogRank,0.5,0.5,0.6266 ± 0.0495,0.4080 ± 0.1139,0.6823 ± 0.0914,0.4451 ± 0.1587,0.5968,0.3963,0.6088,0.0000
MDN _LogRank,0.5,0.25,0.6156 ± 0.0193,0.6157 ± 0.1692,0.6732 ± 0.0619,0.0411 ± 0.0413,0.6254,0.6475,0.6685,0.0000
MDN _LogRank,0.25,1.0,0.6588 ± 0.0260,0.1971 ± 0.0602,0.7018 ± 0.1364,0.6864 ± 0.1271,0.7186,0.1851,0.6760,0.5008
MDN _LogRank,0.25,0.75,0.6525 ± 0.0310,0.2813 ± 0.0900,0.7477 ± 0.0638,0.6473 ± 0.1059,0.7056,0.2644,0.6442,0.4174
MDN _LogRank,0.25,0.5,0.6079 ± 0.0596,0.3645 ± 0.0578,0.7289 ± 0.0605,0.6883 ± 0.1158,0.5774,0.3656,0.6063,0.8930
MDN _LogRank,0.25,0.25,0.6334 ± 0.0520,0.6199 ± 0.0806,0.7225 ± 0.0611,0.1369 ± 0.0924,0.6596,0.6135,0.6194,0.0001
MDN ,1.0,1.0,0.6504 ± 0.0489,0.1459 ± 0.0349,0.7725 ± 0.0717,0.3701 ± 0.1141,0.7182,0.1290,0.6655,0.0250
MDN ,1.0,0.75,0.6629 ± 0.0283,0.2323 ± 0.0615,0.7750 ± 0.0697,0.4553 ± 0.1462,0.7038,0.2348,0.6679,0.0013
MDN ,1.0,0.5,0.6475 ± 0.0152,0.3849 ± 0.0822,0.7215 ± 0.0400,0.2559 ± 0.2403,0.6624,0.3570,0.6542,0.3828
MDN ,1.0,0.25,0.6209 ± 0.0274,0.6229 ± 0.1415,0.6651 ± 0.0366,0.2425 ± 0.2607,0.6067,0.6273,0.5557,0.0000
MDN ,0.75,1.0,0.6856 ± 0.0255,0.1453 ± 0.0342,0.7967 ± 0.0628,0.4670 ± 0.3238,0.7080,0.1328,0.6605,0.1700
