Model,T_max,Uncensored Reduction,5Fold - c-index,5Fold - iBrier,5Fold - AUROC,5Fold - LogRank,Hold-out - c-index,Hold-out - iBrier,Hold-out - AUROC,Hold-out - LogRank
RandomSurvivalForest ,1.0,1.0,0.8377 ± 0.0063,0.1337 ± 0.0052,0.8921 ± 0.0066,0.3419 ± 0.1120,0.8454,0.1307,0.8963,0.2204
RandomSurvivalForest ,1.0,0.75,0.7858 ± 0.0126,0.1946 ± 0.0073,0.9093 ± 0.0078,0.0000 ± 0.0000,0.7977,0.1811,0.9117,0.0000
RandomSurvivalForest ,1.0,0.5,0.7223 ± 0.0249,0.1836 ± 0.0108,0.9457 ± 0.0044,0.0000 ± 0.0000,0.7221,0.2048,0.9435,0.0000
RandomSurvivalForest ,1.0,0.25,0.6686 ± 0.0203,0.0797 ± 0.0081,0.9764 ± 0.0025,0.0000 ± 0.0000,0.6641,0.0754,0.9797,0.0000
RandomSurvivalForest ,0.75,1.0,0.8401 ± 0.0068,0.1318 ± 0.0045,0.8939 ± 0.0065,0.0701 ± 0.0269,0.8494,0.1272,0.8975,0.0090
RandomSurvivalForest ,0.75,0.75,0.7943 ± 0.0125,0.1835 ± 0.0084,0.9097 ± 0.0079,0.0000 ± 0.0000,0.8044,0.1820,0.9114,0.0000
RandomSurvivalForest ,0.75,0.5,0.7336 ± 0.0233,0.1851 ± 0.0108,0.9469 ± 0.0045,0.0000 ± 0.0000,0.7283,0.2062,0.9447,0.0000
RandomSurvivalForest ,0.75,0.25,0.6802 ± 0.0186,0.0799 ± 0.0081,0.9765 ± 0.0025,0.0000 ± 0.0000,0.6711,0.0759,0.9797,0.0000
RandomSurvivalForest ,0.5,1.0,0.8477 ± 0.0060,0.1243 ± 0.0045,0.9021 ± 0.0074,0.0047 ± 0.0051,0.8557,0.1213,0.9043,0.0000
RandomSurvivalForest ,0.5,0.75,0.8130 ± 0.0093,0.1615 ± 0.0080,0.9145 ± 0.0071,0.0000 ± 0.0000,0.8177,0.1623,0.9161,0.0000
RandomSurvivalForest ,0.5,0.5,0.7615 ± 0.0173,0.1842 ± 0.0156,0.9506 ± 0.0036,0.0000 ± 0.0000,0.7739,0.1228,0.9515,0.0000
RandomSurvivalForest ,0.5,0.25,0.7037 ± 0.0183,0.0830 ± 0.0083,0.9760 ± 0.0023,0.0000 ± 0.0000,0.6943,0.0769,0.9794,0.0000
RandomSurvivalForest ,0.25,1.0,0.8633 ± 0.0079,0.1023 ± 0.0042,0.9201 ± 0.0066,0.0009 ± 0.0015,0.8674,0.1022,0.9205,0.0000
RandomSurvivalForest ,0.25,0.75,0.8373 ± 0.0098,0.1274 ± 0.0066,0.9261 ± 0.0051,0.0000 ± 0.0000,0.8389,0.1271,0.9264,0.0000
RandomSurvivalForest ,0.25,0.5,0.7888 ± 0.0168,0.1157 ± 0.0126,0.9576 ± 0.0038,0.0000 ± 0.0000,0.7873,0.1093,0.9621,0.0000
RandomSurvivalForest ,0.25,0.25,0.7472 ± 0.0094,0.0845 ± 0.0054,0.9751 ± 0.0024,0.0000 ± 0.0000,0.7309,0.0827,0.9786,0.0000
GradientBoosting $_{LogRank}$,1.0,1.0,0.8557 ± 0.0054,0.1495 ± 0.0078,0.8810 ± 0.0070,0.2363 ± 0.1416,0.8678,0.1529,0.8945,0.0917
GradientBoosting $_{LogRank}$,1.0,0.75,0.8070 ± 0.0117,0.2070 ± 0.0081,0.8890 ± 0.0080,0.0000 ± 0.0000,0.8216,0.2102,0.8985,0.0000
GradientBoosting $_{LogRank}$,1.0,0.5,0.7368 ± 0.0105,0.3402 ± 0.0119,0.8885 ± 0.0040,0.0000 ± 0.0000,0.7634,0.3390,0.9026,0.0000
GradientBoosting $_{LogRank}$,1.0,0.25,0.6106 ± 0.0175,0.6771 ± 0.0181,0.8492 ± 0.0064,0.0000 ± 0.0000,0.6463,0.6607,0.8700,0.0000
GradientBoosting $_{LogRank}$,0.75,1.0,0.8592 ± 0.0052,0.1504 ± 0.0080,0.8823 ± 0.0074,0.0477 ± 0.0577,0.8714,0.1539,0.8953,0.0019
GradientBoosting $_{LogRank}$,0.75,0.75,0.8162 ± 0.0093,0.2041 ± 0.0084,0.8902 ± 0.0081,0.0000 ± 0.0000,0.8309,0.2064,0.9004,0.0000
GradientBoosting $_{LogRank}$,0.75,0.5,0.7521 ± 0.0075,0.3353 ± 0.0120,0.8894 ± 0.0038,0.0000 ± 0.0000,0.7773,0.3323,0.9046,0.0000
GradientBoosting $_{LogRank}$,0.75,0.25,0.6302 ± 0.0090,0.6672 ± 0.0181,0.8527 ± 0.0054,0.0000 ± 0.0000,0.6616,0.6484,0.8720,0.0000
GradientBoosting $_{LogRank}$,0.5,1.0,0.8682 ± 0.0042,0.1532 ± 0.0083,0.8876 ± 0.0060,0.0020 ± 0.0030,0.8759,0.1576,0.8981,0.0000
GradientBoosting $_{LogRank}$,0.5,0.75,0.8362 ± 0.0065,0.1958 ± 0.0083,0.8963 ± 0.0066,0.0000 ± 0.0000,0.8444,0.2010,0.9053,0.0000
GradientBoosting $_{LogRank}$,0.5,0.5,0.7818 ± 0.0074,0.3153 ± 0.0097,0.8934 ± 0.0045,0.0000 ± 0.0000,0.7948,0.3189,0.9081,0.0000
GradientBoosting $_{LogRank}$,0.5,0.25,0.6795 ± 0.0131,0.6236 ± 0.0148,0.8659 ± 0.0091,0.0000 ± 0.0000,0.6734,0.6189,0.8710,0.0000
GradientBoosting $_{LogRank}$,0.25,1.0,0.8844 ± 0.0054,0.1508 ± 0.0079,0.9018 ± 0.0079,0.0001 ± 0.0002,0.8884,0.1551,0.9089,0.0000
GradientBoosting $_{LogRank}$,0.25,0.75,0.8626 ± 0.0074,0.1822 ± 0.0080,0.9136 ± 0.0072,0.0000 ± 0.0000,0.8639,0.1875,0.9199,0.0000
GradientBoosting $_{LogRank}$,0.25,0.5,0.8182 ± 0.0107,0.2829 ± 0.0097,0.9098 ± 0.0059,0.0000 ± 0.0000,0.8236,0.2861,0.9206,0.0000
GradientBoosting $_{LogRank}$,0.25,0.25,0.7270 ± 0.0140,0.5493 ± 0.0132,0.8825 ± 0.0097,0.0000 ± 0.0000,0.7306,0.5444,0.8942,0.0000
GradientBoosting ,1.0,1.0,0.8584 ± 0.0050,0.1344 ± 0.0069,0.8803 ± 0.0059,0.0317 ± 0.0104,0.8692,0.1354,0.8919,0.0047
GradientBoosting ,1.0,0.75,0.8131 ± 0.0085,0.1959 ± 0.0084,0.8902 ± 0.0050,0.0000 ± 0.0000,0.8254,0.1963,0.8985,0.0000
GradientBoosting ,1.0,0.5,0.7456 ± 0.0109,0.3439 ± 0.0164,0.8937 ± 0.0059,0.0000 ± 0.0000,0.7573,0.3428,0.8976,0.0000
